Rank,Country,Gold,Silver,Bronze,Total,HDI,Life Expectancy,GNI,GINI,Happiness Rank National,Happiness Rank Olympics,HDI_INT
1,Norway,14,14,11,39,0.954,82.3,"68,059",27,2,2,95.4
2,Germany,14,10,7,31,0.939,81.2,"46,946",31.9,15,10,93.9
3,Canada,11,8,10,29,0.922,82.3,"43,602",33.3,7,5,92.2
4,United States,9,8,6,23,0.92,78.9,"56,140",41.1,18,12,92
5,Netherlands,8,6,6,20,0.933,82.1,"50,013",28.5,6,4,93.3
6,South Korea,5,8,4,17,0.906,82.8,"36,757",31.6,5,3,90.6
7,Switzerland,5,6,4,15,0.946,83.6,"59,375",31.7,57,23,94.6
8,France,5,4,6,15,0.891,82.5,"40,511",31.6,23,15,89.1
9,Sweden,7,6,1,14,0.937,82.7,"47,955",28.8,9,7,93.7
10,Austria,5,3,6,14,0.914,81.4,"46,231",29.7,12,9,91.4
11,Japan,4,5,4,13,0.915,84.5,"40,799",32.9,54,22,91.5
12,Italy,3,2,5,10,0.883,83.4,"36,141",35.9,47,19,88.3
13,China,1,6,2,9,0.758,76.7,"16,127",38.5,86,27,75.8
14,Czech Republic,2,2,3,7,0.891,79.2,"31,597",24.9,21,14,89.1
15,Finland,1,1,4,6,0.925,81.7,"41,779",27.4,1,1,92.5
16,Britain,1,0,4,5,0.92,81.2,"39,507",34.8,19,13,92
17,Belarus,2,1,0,3,0.817,74.6,"17,039",25.2,73,26,81.7
18,Slovakia,1,2,0,3,0.857,774,"30,672",25.2,39,17,85.7
19,Australia,0,2,1,3,0.938,83.3,"44,097",29.7,10,8,93.8
20,Poland,1,0,1,2,0.872,78.5,"27,626",29.7,42,18,87.2
21,Slovenia,0,1,1,2,0.902,81.2,"32,143",24.2,51,20,90.2
22,Spain,0,0,2,2,0.893,83.4,"35,041",34.7,36,16,89.3
23,New Zealand,0,0,2,2,0.921,82.1,"35,108",33,8,6,92.1
24,Hungary,1,0,0,1,0.845,76.7,"27,144",30.6,69,25,84.5
25,Ukraine,1,0,0,1,0.75,72,"07,994",26.1,138,28,75
26,Belgium,0,1,0,1,0.919,81.5,"43,821",27.4,16,11,91.9
27,Kazakhstan,0,0,1,1,0.817,73.2,"22,168",27.5,60,24,81.7
28,Latvia,0,0,1,1,0.854,75.2,"26,301",35.6,53,21,85.4
